EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE,DEPARTMENT,CITY,SOURCE_SYSTEM
E0001,David,Verma,david.verma1@company.com,9637637234,Finance,,PAYROLL
E0001,David,Verma,david.verma1@company.com,9637637234,Finance,Chennai,HRM
E0001,David,Verma,david.verma1@company.com,,,Chennai,ACTIVEDIRECTORYY
E0001,David,Verma,david.verma1@company.com,9637637234,,Chennai,CRM
E0002,Arun,Verma,arun.verma2@company.com,9338898955,Marketing,,PAYROLL
E0002,Arun,Verma,arun.verma2@company.com,9338898955,Marketing,Hyderabad,HRM
E0002,Arun,Verma,arun.verma2@company.com,9338898955,,Hyderabad,CRM
E0003,Ravi,Das,ravi.das3@company.com,9962388353,Finance,,PAYROLL
E0003,Ravi,Das,ravi.das3@company.com,,,Bengaluru,ACTIVEDIRECTORYY
E0004,Priya,Roy,priya.roy4@company.com,,,Hyderabad,ACTIVEDIRECTORYY
E0004,Priya,Roy,priya.roy4@corp.com,9184748096,Finance,Hyderabad,HRM
E0004,Priya,Roy,priya.roy4@company.com,9184748096,,Hyderabad,CRM
E0004,Priya,Roy,priya.roy4@company.com,9184748096,Finance,,PAYROLL
E0005,Deepa,Nair,deepa.nair5@company.com,,,Mumbai,ACTIVEDIRECTORYY
E0005,Deepa,Nair,deepa.nair5@company.com,9294138474,,Mumbai,CRM
E0005,Deepa,Nair,deepa.nair5@company.com,9294138474,Operations,Mumbai,HRM
E0006,Meena,Miller,meena.miller6@company.com,9284339916,,Bengaluru,CRM
E0006,Meena,Miller,meena.miller6@company.com,9284339916,Finance,,PAYROLL
E0007,John,Verma,john.verma7@company.com,9437977780,Finance,Chennai,HRM
E0007,John,Verma,john.verma7@company.com,,,Chennai,ACTIVEDIRECTORYY
E0007,John,Verma,john.verma7@company.com,9437977780,Finance,,PAYROLL
E0007,John,Verma,john.verma7@company.com,9437977700,,Chennai,CRM
E0008,Joh,Das,john.das8@company.com,,,Mumbai,ACTIVEDIRECTORYY
E0008,John,Das,john.das8@company.com,9299675000,,Mumbai,CRM
E0008,John,Das,john.das8@company.com,9299675031,Finance,,PAYROLL
E0008,John,Das,john.das8@company.com,9299675031,Finance,Mumbai,HRM
E0009,Nisha,Shah,nisha.shah9@company.com,,,Chennai,ACTIVEDIRECTORYY
E0009,Nisha,Shah,nisha.shah9@company.com,9359201416,,Chennai,CRM
E0009,Nisha,Shah,nisha.shah9@company.com,9359201416,Operations,Chennai,HRM
E0009,Nis,Shah,nisha.shah9@company.com,9359201416,Operations,,PAYROLL
E0010,Ajay,Joseph,ajay.joseph10@company.com,9947783944,,Pune,CRM
E0010,Ajay,Joseph,ajay.joseph10@corp.com,,,Pune,ACTIVEDIRECTORYY
